1,1888
2,2007
3,1528
4,1712
5,1857
6,1708
7,1536
8,2039
9,1823
10,1697
11,2013
12,1678
13,2039
14,1971
15,1891
16,1529
17,1552
18,2024
19,1744
20,1847
21,1729
22,1623
23,1674
24,2003
25,1872
26,1879
27,1871
28,1856
29,2016
30,1576
31,2022
32,1987
33,1876
34,1746
35,1870
36,1847
37,1556
38,2024
39,1728
40,1711
41,1853
42,1505
43,1691
44,1524
45,1733
46,1712
47,1543
48,1751
49,1728
50,1685
51,1556
52,1894
53,2119
54,1692
55,2009
56,1893
57,1859
58,2041
59,1871
60,1692
61,1729
62,2165
63,2055
64,2165
65,1999
66,1692
67,1856
68,1691
69,1708
70,1863
71,1859
72,1725
73,1874
74,1556
75,1866
76,1692
77,1866
78,1692
79,2030
80,1660
81,1717
82,1725
83,1880
84,1890
85,2012
86,2032
87,1641
88,2036
89,1712
90,2012
91,1707
92,1641
93,1725
94,1689
95,1856
96,1837
97,1714
98,1686
99,2022
100,1737
101,2042
102,1693
103,1876
104,2030
105,1851
106,1820
107,1866
108,1873
109,2016
110,1708
111,1691
112,1723
113,1890
114,1674
115,2036
116,1851
117,1663
118,1859
119,1725
120,1872
121,2059
122,1729
123,1692
124,1717
125,1693
126,1540
127,1997
128,1543
129,1842
130,1879
131,1697
132,1856
133,1840
134,1876
135,2036
136,1714
137,2021
138,2040
139,1542
140,1866
141,1831
142,1693
143,1997
144,1971
145,1995
146,1706
147,2052
148,1873
149,1891
150,1698
151,1552
152,1888
153,1976
154,1725
155,1712
156,1705
157,1729
158,1735
159,1862
160,1882
161,1699
162,1698
163,2020
164,1674
165,1876
166,1845
167,1890
168,1689
169,1729
170,1689
171,1872
172,1689
173,1877
174,1725
175,1893
176,1528
177,2007
178,1868
179,1875
180,1678
181,1746
182,1837
183,1540
184,1729
185,1698
186,1877
187,1879
188,2007
189,1712
190,2016
191,1876
192,2007
193,1891
194,2055
195,2024
196,2001
197,2052
198,1876
199,1997
200,1692
201,1868
202,1525
203,1884
204,2015
205,1865
206,2042
207,2022
208,1976
209,1694
210,1847
211,1706
212,1868
213,2015
214,1712
215,1668
216,1521
217,1691
218,1525
219,2022
220,1712
221,1820
222,1820
223,1847
224,2033
225,1847
226,1674
227,1872
228,1877
229,1862
230,1525
231,2144
232,1838
233,1890
234,1868
235,1692
236,1884
237,2030
238,1708
239,2012
240,1876
241,1845
242,1875
243,1890
244,1856
245,2119
246,1872
247,2009
248,1840
249,1694
250,2027
251,1833
252,1891
253,1877
254,2032
255,1891
256,1836
257,1712
258,1729
259,2033
260,1875
261,1725
262,1711
263,1743
264,1712
265,1888
266,2041
267,1840
268,1868
269,1552
270,1856
271,1876
272,1894
273,1714
274,1848
275,2119
276,1708
277,1835
278,1856
279,1845
280,2003
281,1698
